Date,Open,High,Low,Close,Volume
07/09/2024,"24.60","25.18","24.00","24.60","9,523,548"
07/08/2024,"24.12","25.14","23.85","24.45","11,815,530"
07/05/2024,"24.18","25.08","23.82","24.18","11,782,060"
07/03/2024,"24.03","24.89","23.65","24.37","11,829,530"
07/02/2024,"23.24","24.32","23.10","23.98","13,703,520"
07/01/2024,"23.35","23.78","22.31","23.33","30,688,980"
06/28/2024,"25.02","26.17","24.31","24.69","20,212,010"
06/27/2024,"24.10","26.69","24.06","25.09","34,866,992"
06/26/2024,"24.60","25.38","24.04","24.20","17,903,020"
06/25/2024,"23.60","24.97","22.55","24.93","27,625,609"
06/24/2024,"23.26","24.83","23.24","23.65","22,162,930"
06/21/2024,"25.24","25.81","23.51","23.93","28,004,000"
06/20/2024,"24.25","25.93","23.65","25.59","36,029,246"
06/18/2024,"24.58","25.97","23.61","24.70","38,079,230"
06/17/2024,"28.55","29.18","23.79","25.22","90,351,906"
06/14/2024,"29.23","30.66","27.41","28.70","82,874,430"
06/13/2024,"26.56","29.58","25.56","29.12","107,306,602"
06/12/2024,"29.17","33.70","24.83","25.46","147,986,703"
06/11/2024,"24.40","30.92","22.79","30.49","146,914,703"
06/10/2024,"28.97","29.34","23.06","24.83","131,572,406"
06/07/2024,"37.69","48.00","26.12","28.22","279,054,406"
06/06/2024,"31.57","47.50","31.28","46.55","206,685,797"
06/05/2024,"26.30","31.84","26.11","31.57","73,156,414"
06/04/2024,"26.26","28.01","25.20","26.50","51,662,129"
06/03/2024,"40.19","40.50","26.40","28.00","165,808,297"
05/31/2024,"22.58","23.72","21.68","23.14","22,174,270"
05/30/2024,"21.02","22.70","20.10","22.61","24,508,770"
05/29/2024,"22.00","22.98","21.05","21.24","26,921,160"
05/28/2024,"23.10","26.66","21.15","23.78","105,077,602"
05/24/2024,"18.42","19.68","17.70","19.00","43,017,090"
05/23/2024,"21.40","21.40","18.26","18.32","30,561,061"
05/22/2024,"21.56","22.25","20.76","21.12","43,521,391"
05/21/2024,"22.24","22.85","20.04","22.12","49,250,070"
05/20/2024,"21.54","23.40","18.94","23.14","55,261,641"
05/17/2024,"21.86","22.41","19.70","22.21","96,079,617"
05/16/2024,"33.98","35.24","27.59","27.67","76,177,586"
05/15/2024,"40.31","42.35","31.00","39.55","131,790,094"
05/14/2024,"64.83","64.83","36.00","48.75","206,979,109"
05/13/2024,"26.34","38.20","24.77","30.45","187,241,703"
05/10/2024,"17.93","20.20","16.88","17.46","36,831,953"
05/09/2024,"15.90","18.51","15.35","18.01","25,759,330"
05/08/2024,"16.05","17.24","15.33","15.92","24,775,090"
05/07/2024,"15.85","17.29","14.93","16.31","24,308,561"
05/06/2024,"14.99","17.40","13.62","16.31","48,018,672"
05/03/2024,"12.42","17.45","12.31","16.47","36,292,449"
05/02/2024,"11.11","12.88","10.96","12.76","8,654,774"
05/01/2024,"11.03","11.32","10.70","10.91","2,659,899"
04/30/2024,"11.18","11.30","10.91","11.09","2,866,509"
04/29/2024,"11.84","11.96","11.18","11.29","3,835,686"
04/26/2024,"11.18","12.19","11.00","11.90","7,685,106"
04/25/2024,"10.70","11.21","10.48","11.21","4,903,794"
04/24/2024,"10.16","10.94","10.16","10.93","4,829,577"
04/23/2024,"10.05","10.28","10.01","10.16","2,511,759"
04/22/2024,"10.41","10.45","10.01","10.01","3,261,000"
04/19/2024,"10.20","10.50","10.20","10.42","2,462,726"
04/18/2024,"10.32","10.63","10.27","10.31","2,175,390"
04/17/2024,"10.44","10.59","10.30","10.30","2,096,726"
04/16/2024,"10.00","10.55","9.95","10.37","4,162,126"
04/15/2024,"10.81","10.84","10.06","10.06","5,086,322"
04/12/2024,"11.21","11.23","10.76","10.77","3,214,436"
04/11/2024,"10.91","11.39","10.80","11.29","3,802,099"
04/10/2024,"10.90","11.07","10.75","10.85","3,546,218"
04/09/2024,"10.85","11.18","10.73","11.01","3,514,403"
04/08/2024,"11.30","11.37","10.83","10.83","3,659,142"
04/05/2024,"11.30","11.50","10.97","11.25","4,759,967"
04/04/2024,"11.50","11.83","11.38","11.53","4,347,040"
04/03/2024,"11.22","11.50","10.90","11.38","4,331,531"
04/02/2024,"11.84","11.99","11.26","11.28","6,327,692"
04/01/2024,"12.63","12.67","11.55","11.99","9,207,097"
03/28/2024,"13.19","13.19","12.47","12.52","8,473,465"
03/27/2024,"13.05","13.72","12.80","13.17","17,871,311"
03/26/2024,"15.15","15.63","14.75","15.50","17,245,820"
03/25/2024,"13.42","15.15","13.31","15.12","10,416,330"
03/22/2024,"13.76","13.95","13.01","13.10","4,411,634"
03/21/2024,"13.56","14.02","13.48","13.66","3,382,799"
03/20/2024,"13.47","13.79","13.21","13.48","3,921,267"
03/19/2024,"13.76","13.89","13.30","13.41","3,894,727"
03/18/2024,"14.25","14.30","13.90","13.91","3,490,830"
03/15/2024,"14.55","14.83","14.21","14.24","4,480,662"
03/14/2024,"14.80","15.02","14.40","14.63","2,534,219"
03/13/2024,"14.69","15.20","14.62","14.87","2,898,100"
03/12/2024,"14.35","14.84","14.09","14.72","2,382,616"
03/11/2024,"14.64","14.94","14.36","14.43","2,111,889"
03/08/2024,"15.40","15.63","14.52","14.65","3,169,763"
03/07/2024,"15.26","15.51","15.05","15.26","2,111,912"
03/06/2024,"15.22","15.89","14.94","15.26","3,818,096"
03/05/2024,"14.95","15.28","14.78","15.00","3,152,726"
03/04/2024,"14.93","15.59","14.83","15.22","4,367,601"
03/01/2024,"14.18","15.09","13.99","14.95","4,899,457"
02/29/2024,"14.34","14.65","14.03","14.27","2,638,703"
02/28/2024,"14.00","14.47","13.89","14.24","2,440,715"
02/27/2024,"13.70","14.29","13.68","14.21","2,795,509"
02/26/2024,"13.31","13.75","13.20","13.68","2,278,614"
02/23/2024,"13.30","13.79","13.12","13.51","2,319,731"
02/22/2024,"13.50","13.65","13.34","13.36","1,817,822"
02/21/2024,"13.46","13.67","13.23","13.41","1,731,270"
02/20/2024,"13.96","14.05","13.16","13.49","3,784,513"
02/16/2024,"14.46","14.53","14.10","14.12","2,301,927"
02/15/2024,"14.54","14.75","14.23","14.51","2,400,542"
02/14/2024,"14.33","14.43","14.05","14.41","2,504,419"
02/13/2024,"14.20","14.40","13.77","14.17","3,788,691"
02/12/2024,"14.58","15.22","14.53","14.73","2,750,144"
02/09/2024,"14.37","15.23","14.30","14.66","3,575,284"
02/08/2024,"14.01","14.44","13.89","14.35","1,838,274"
02/07/2024,"14.12","14.30","13.78","14.07","1,947,793"
02/06/2024,"13.60","14.30","13.43","14.10","3,052,466"
02/05/2024,"14.50","14.61","13.40","13.46","4,361,519"
02/02/2024,"14.15","14.92","14.08","14.73","2,924,462"
02/01/2024,"14.34","14.42","14.02","14.42","2,220,154"
01/31/2024,"14.40","14.83","14.22","14.23","2,684,680"
01/30/2024,"14.54","14.82","14.51","14.55","1,652,561"
01/29/2024,"14.50","14.81","14.32","14.78","2,164,235"
01/26/2024,"14.44","14.72","14.41","14.49","2,288,830"
01/25/2024,"13.97","14.54","13.92","14.52","3,635,866"
01/24/2024,"14.28","14.38","13.82","13.95","2,513,801"
01/23/2024,"15.00","15.02","14.05","14.18","3,495,270"
01/22/2024,"14.50","15.16","14.30","14.90","3,606,547"
01/19/2024,"14.36","14.60","14.09","14.51","2,396,197"
01/18/2024,"14.20","14.77","14.05","14.29","3,906,004"
01/17/2024,"13.86","14.11","13.71","14.08","2,706,197"
01/16/2024,"14.60","14.62","13.93","13.98","3,581,167"
01/12/2024,"15.30","15.62","14.73","14.75","2,479,772"
01/11/2024,"15.65","15.80","15.24","15.25","2,992,177"
01/10/2024,"15.12","15.76","14.97","15.73","3,191,714"
01/09/2024,"15.59","15.62","15.12","15.16","3,105,267"
01/08/2024,"15.78","16.12","15.70","15.79","3,031,109"
01/05/2024,"16.16","16.52","15.96","15.96","2,619,192"
01/04/2024,"16.51","16.75","16.31","16.36","2,671,512"
01/03/2024,"16.30","16.83","15.90","16.69","4,193,550"
01/02/2024,"17.25","17.60","16.58","16.67","4,428,020"
12/29/2023,"18.04","18.16","17.46","17.53","4,536,656"
12/28/2023,"18.05","18.32","17.85","18.07","3,574,783"
12/27/2023,"17.43","18.37","17.37","18.37","4,800,071"
12/26/2023,"16.98","17.41","16.82","17.36","3,079,617"
12/22/2023,"16.78","17.20","16.45","16.97","3,329,896"
12/21/2023,"17.19","17.34","16.59","16.98","3,975,273"
12/20/2023,"17.53","18.38","16.89","16.93","5,552,971"
12/19/2023,"17.89","18.59","17.23","17.72","5,447,123"
12/18/2023,"17.24","18.51","17.10","17.86","7,352,153"
12/15/2023,"17.40","17.58","17.01","17.26","7,119,134"
12/14/2023,"17.14","17.88","16.80","17.44","10,750,750"
12/13/2023,"15.22","16.80","15.19","16.69","9,086,880"
12/12/2023,"15.12","15.36","14.84","15.22","4,210,660"
12/11/2023,"15.45","15.69","14.98","15.07","4,961,223"
12/08/2023,"15.83","16.48","15.47","15.55","10,401,390"
12/07/2023,"13.71","16.52","13.56","16.36","19,840,670"
12/06/2023,"15.36","15.70","14.64","14.84","12,691,340"
12/05/2023,"16.47","16.72","14.87","14.91","14,220,060"
12/04/2023,"15.29","17.41","14.91","16.98","20,098,660"
12/01/2023,"14.52","15.99","14.50","15.30","13,378,650"
11/30/2023,"16.29","16.33","14.32","14.55","16,537,170"
11/29/2023,"15.49","17.56","14.70","16.25","61,172,840"
11/28/2023,"11.90","13.55","11.89","13.49","14,192,940"
11/27/2023,"12.18","12.33","11.89","11.91","3,710,572"
11/24/2023,"12.22","12.41","12.18","12.20","1,232,474"
11/22/2023,"12.56","12.71","12.19","12.29","2,362,461"
11/21/2023,"12.65","12.72","12.26","12.55","3,710,097"
11/20/2023,"13.00","13.20","12.80","12.80","2,301,584"
11/17/2023,"12.52","13.06","12.52","13.03","3,422,596"
11/16/2023,"13.14","13.19","12.52","12.53","3,425,773"
11/15/2023,"13.15","13.50","13.03","13.27","4,121,561"
11/14/2023,"12.75","13.39","12.69","12.90","5,187,534"
11/13/2023,"12.50","12.53","11.83","12.14","4,318,457"
11/10/2023,"12.81","12.97","12.35","12.54","3,875,692"
11/09/2023,"13.25","13.32","12.70","12.70","2,750,115"
11/08/2023,"13.51","13.76","13.28","13.28","1,705,621"
11/07/2023,"13.47","13.79","13.23","13.64","2,354,364"
11/06/2023,"13.99","14.05","13.49","13.53","2,164,399"
11/03/2023,"13.90","14.40","13.83","13.87","2,966,237"
11/02/2023,"13.37","13.70","13.28","13.64","3,566,585"
11/01/2023,"13.78","13.80","13.01","13.01","3,430,138"
10/31/2023,"12.85","13.90","12.82","13.77","4,574,637"
10/30/2023,"13.15","13.27","12.59","12.80","3,475,939"
10/27/2023,"13.51","13.62","13.02","13.12","2,481,701"
10/26/2023,"13.73","13.80","13.41","13.50","2,036,419"
10/25/2023,"14.01","14.01","13.61","13.71","1,967,280"
10/24/2023,"13.59","14.30","13.55","14.04","3,738,325"
10/23/2023,"13.28","13.59","13.04","13.44","2,785,462"
10/20/2023,"13.18","13.80","13.12","13.44","3,661,770"
10/19/2023,"13.80","13.85","12.90","13.16","5,808,038"
10/18/2023,"14.00","14.25","13.81","13.85","4,045,789"
10/17/2023,"14.25","14.83","14.10","14.12","3,842,428"
10/16/2023,"14.81","14.93","14.15","14.43","3,508,601"
10/13/2023,"14.92","15.11","14.78","14.92","1,835,601"
10/12/2023,"15.77","15.80","14.82","15.09","3,180,340"
10/11/2023,"16.01","16.09","15.74","15.82","2,098,203"
10/10/2023,"15.50","16.19","15.40","16.00","2,915,872"
10/09/2023,"14.77","15.50","14.72","15.40","2,276,323"
10/06/2023,"14.59","15.26","14.58","15.08","2,467,053"
10/05/2023,"14.70","14.98","14.58","14.71","1,945,094"
10/04/2023,"14.77","14.94","14.44","14.87","2,586,368"
10/03/2023,"15.29","15.29","14.57","14.60","4,510,325"
10/02/2023,"16.30","16.31","15.26","15.39","6,087,651"
09/29/2023,"17.05","17.26","16.40","16.46","3,397,024"
09/28/2023,"18.02","18.10","16.44","16.84","7,431,938"
09/27/2023,"16.87","17.26","16.81","17.15","1,681,325"
09/26/2023,"17.38","17.82","16.78","16.78","2,726,813"
09/25/2023,"17.00","17.72","16.85","17.67","2,181,230"
09/22/2023,"17.18","17.35","17.00","17.18","2,102,886"
09/21/2023,"17.28","17.32","16.65","17.02","2,913,533"
09/20/2023,"17.63","17.93","17.45","17.52","2,134,121"
09/19/2023,"17.59","17.64","17.13","17.52","2,584,791"
09/18/2023,"17.99","18.10","17.35","17.55","3,694,591"
09/15/2023,"18.36","18.61","18.15","18.22","6,166,608"
09/14/2023,"17.80","18.52","17.60","18.33","3,077,962"
09/13/2023,"17.31","17.93","17.27","17.81","3,012,556"
09/12/2023,"17.53","18.50","17.19","17.23","5,179,405"
09/11/2023,"17.85","17.85","16.90","17.02","3,543,797"
09/08/2023,"18.15","18.50","17.35","17.71","4,694,034"
09/07/2023,"19.13","19.48","17.61","18.89","5,021,288"
09/06/2023,"19.06","19.15","18.42","18.75","6,107,245"
09/05/2023,"18.45","19.34","18.26","19.23","3,781,292"
09/01/2023,"18.66","18.73","18.32","18.42","2,135,901"
08/31/2023,"18.41","19.42","18.15","18.55","4,674,143"
08/30/2023,"18.20","18.53","17.91","18.37","1,884,501"
08/29/2023,"17.60","18.55","17.60","18.24","2,709,238"
08/28/2023,"17.35","18.11","17.25","17.57","3,007,418"
08/25/2023,"16.50","17.18","16.45","17.13","3,423,462"
08/24/2023,"16.94","16.98","16.18","16.36","3,624,485"
08/23/2023,"17.25","17.34","16.88","16.89","2,909,054"
08/22/2023,"18.62","18.62","17.25","17.26","3,791,911"
08/21/2023,"18.30","18.82","18.20","18.48","2,864,735"
08/18/2023,"18.18","18.66","18.14","18.36","2,029,098"
08/17/2023,"18.79","18.81","18.30","18.38","2,056,830"
08/16/2023,"19.18","19.34","18.55","18.59","3,015,627"
08/15/2023,"19.77","19.78","19.09","19.33","2,290,326"
08/14/2023,"19.75","20.01","19.08","19.96","3,329,291"
08/11/2023,"20.03","20.38","19.97","20.19","1,522,912"
08/10/2023,"20.00","20.29","19.87","20.19","1,432,446"
08/09/2023,"20.85","20.85","19.82","19.93","2,929,553"
08/08/2023,"20.70","20.90","20.28","20.74","1,431,250"
08/07/2023,"20.90","21.24","20.48","21.07","1,441,290"
08/04/2023,"20.95","21.89","20.89","20.98","2,406,033"
08/03/2023,"20.88","21.18","20.74","20.93","1,324,938"
08/02/2023,"21.15","21.15","20.34","20.83","2,630,714"
08/01/2023,"21.95","22.00","21.26","21.50","2,574,804"
07/31/2023,"22.00","22.38","21.85","22.20","1,975,391"
07/28/2023,"22.02","22.49","21.79","21.93","2,647,747"
07/27/2023,"22.94","23.49","22.13","22.22","3,370,913"
07/26/2023,"22.70","22.99","22.48","22.70","1,489,152"
07/25/2023,"23.10","23.10","22.53","22.85","1,671,991"
07/24/2023,"22.42","23.04","22.20","23.04","2,970,433"
07/21/2023,"23.05","23.22","22.16","22.18","3,167,916"
07/20/2023,"23.01","23.22","22.66","22.91","2,256,659"
07/19/2023,"23.42","23.58","22.96","23.17","2,250,133"
07/18/2023,"22.72","23.80","22.68","23.08","2,345,137"
07/17/2023,"22.88","23.31","22.70","22.82","2,033,970"
07/14/2023,"23.49","23.72","22.94","22.97","2,178,827"
07/13/2023,"23.54","23.98","23.42","23.46","1,912,157"
07/12/2023,"24.25","24.31","23.44","23.44","1,742,244"
07/11/2023,"23.20","24.44","23.20","23.91","3,063,534"
07/10/2023,"22.61","23.56","22.00","23.54","3,318,214"
